"id","titulo","subtitulo","provincia","city","momento","duracion","actividades","notas"
"first-time-bcn","First time in Barcelona","The three things we would not let you miss on a first visit.","barcelona","barcelona","any","1 day","50027|53791|1043339","Book the first slot of the day: best light through the stained glass, shortest queue.|Mid-morning, before the coaches arrive. Entry is timed, so keep an hour free.|The easiest way to link the Gothic Quarter and the seafront without walking yourself out."
"gaudi-day","Gaudi in one day","Four buildings, one architect, walking distance apart.","barcelona","barcelona","morning","1 day","50027|398519|913286|53791","Start here, first thing. Everything else feels smaller afterwards.|Ten minutes up Passeig de Gracia. The facade alone is worth the stop.|Same street, five minutes further. The rooftop is the highlight.|Finish at golden hour, with the whole city below you."
"bcn-after-dark","Barcelona after dark","Where the night actually happens, in the right order.","barcelona","barcelona","evening,night","1 night","1310822|1258142|1184893","Start at sunset: the old town is at its best when the lights come on.|A local takes you where the queues are not.|Skip the door queue. Nights here start late, so plan for 1am."
"sunset-tapas","Sunset, tapas and flamenco","Our favourite way to spend an evening in the city.","barcelona","barcelona","evening","1 evening","173643|303593|405115","Leave around 19:00 and you are on the water for the sunset.|Dinner sorted, with wine and vermouth included.|A tiny baroque palace. Late show, and worth the late night."
"costa-daurada-48h","48h on the Costa Daurada","Two parks, one catamaran, zero wasted time.","tarragona","salou","any","2 days","115174|33815|1394594","Day one, from opening. The 1-3 day ticket pays for itself if you stay over.|Day two, when the park queues get long and the heat kicks in.|Finish with drinks on the water as the sun goes down."
"beyond-the-city","Beyond the city","Three day trips that beat another museum.","barcelona","barcelona","morning","1 day each","382639|119389|436024","A mountain monastery, plus a winery on the way back.|Sea caves and cliff jumping, an hour and a half up the coast.|Andorra, France and Spain in a single day. Bring your passport."
"girona-in-a-day","Girona in one day","The old town, the cathedral steps and dinner where the locals eat.","girona","girona","morning","1 day","151013|407669|590538","Start at 10:00, before the tour groups come up from the coast. Two hours and you have the whole old town.|The cathedral, the art museum and Sant Feliu on one ticket. Climb the 90 steps: the view is the point.|From 18:30, when the terraces fill up. Four stops, and you finish knowing where to come back to."
"costa-brava-by-sea","Costa Brava by sea","Two towns, one boat, and the coves you cannot reach by road.","girona","lloret-de-mar","morning","1 day","222411|475482|427417","Take the 09:30 crossing to Tossa. Thirty minutes hugging the cliffs, and you skip the coast road entirely.|Kayaks leave from the beach under the castle. Half a day, and the caves are only reachable from the water.|Ferry back and straight onto the catamaran at 18:00. Sunset, a DJ and the walled town behind you."
"dali-and-the-north","Dalí and the north","Sea in the morning, surrealism in the afternoon, Girona for dinner.","girona","figueres","morning","1 day","425645|831886|590538","The 09:30 sailing to Cadaqués. You arrive by water, which is how Dalí arrived for forty summers.|Twenty-five minutes inland. Go in after 15:00: the coach parties have gone and the museum empties out.|Forty-five minutes south, and Girona is at its best after dark. Book the 18:30 sitting."
"tarragona-romana","Roman Tarragona","An amphitheatre over the sea, a cathedral, and flamingos at sunset.","tarragona","tarragona","morning","1 day","388963|387676|554713","Two hours through the amphitheatre, the circus and the walls. Go at 10:00, before the stone starts to bake.|Half Romanesque, half Gothic, because it took two centuries. The cloister is the quiet part.|An hour and twenty south, and worth every minute. Be at the Delta by 17:30: the flamingos feed as the light goes."
"rainy-day-bcn","Rainy day in Barcelona","Three roofs, none of them a queue in the wet.","barcelona","barcelona","any","1 day","398519|406467|682388","Gaudí projected onto his own walls. Forty-five minutes, and the best thing to do in this city under a roof.|Ten minutes away and rarely full. Modern art in a townhouse: an hour is plenty.|Back to Casa Batlló at 20:00, this time lit for the night, with a drink on the roof terrace."
"costa-daurada-kids","Costa Daurada with kids","A day out that does not cost a theme-park ticket.","tarragona","salou","morning","1 day","379979|1345237|937964","Zip-lines and rope bridges in the pine wood behind Salou. Opens at 10:00 and the shade holds until midday.|Twenty minutes down the coast, floating on the sea instead of queueing for a slide. Under 20€ a head.|Finish with minigolf. It stays open until 22:00, which is exactly when nobody wants to go back to the hotel."
